"","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","X32","X33"
"2250","tomato","pepper","marjoram","wheat","onion","thyme","potato","cayenne","cumin","celery","carrot","garlic","basil","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2251","tomato","olive_oil","beef","chicken_broth","red_wine","cayenne","garlic","butter","beef_broth","rosemary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2252","tomato","cheese","green_bell_pepper","beef","onion","corn","cayenne","cumin","lettuce","garlic","bell_pepper","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2253","tomato","pork","wheat","beef","onion","cayenne","scallion","garlic","vegetable_oil","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2254","butter","cheese","garlic","onion","cayenne","cumin","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2255","egg","corn","cayenne","milk","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2256","tomato","pork","onion","cayenne","black_pepper","cumin","garlic","bell_pepper","oregano","vegetable_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2257","cheese","cilantro","onion","vinegar","black_bean","corn","cayenne","garlic","lard","anise_seed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2258","tomato","bean","garlic","cream_cheese","onion","cheddar_cheese","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2259","tomato","vinegar","pepper","wheat","celery_oil","beef","yeast","corn","potato","onion","garlic","butter","egg","mushroom","cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2260","onion","potato","cayenne","black_pepper","cumin","garlic","bell_pepper","oregano","vegetable_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2261","wheat","onion","black_pepper","cayenne","cumin","roasted_meat","garlic","bell_pepper","oregano","vegetable_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2262","tomato","pepper","green_bell_pepper","wheat","mushroom","onion","cayenne","garlic","cream_cheese","vegetable_oil","cheddar_cheese","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2263","cane_molasses","butter","wheat","cinnamon","vegetable_oil","orange_juice","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2264","onion","mushroom","corn","cheddar_cheese","cayenne","chicken","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2265","cane_molasses","fenugreek","pepper","almond","white_wine","lettuce","garlic","coriander","vinegar","grape","soy_sauce","avocado","cumin","mandarin","vegetable_oil","turmeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2266","pork","green_bell_pepper","wheat","onion","bean","bell_pepper","cheddar_cheese","pork_sausage","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2267","tomato","cilantro","onion","cayenne","bacon","bean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2268","cane_molasses","olive_oil","pepper","green_bell_pepper","wheat","mushroom","tabasco_pepper","garlic","tamarind","tomato","vinegar","cilantro","beef","onion","lime_juice","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2269","butter","cilantro","carrot","garlic","cayenne","cumin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2270","tomato","cheese","green_bell_pepper","beef","onion","corn","cayenne","cumin","scallion","celery","lettuce","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2271","tomato","vinegar","pepper","olive_oil","black_bean","cayenne","lime_juice","cumin","scallion","cucumber","oregano","cider","avocado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2272","olive_oil","cilantro","green_bell_pepper","onion","black_bean","corn","cayenne","chickpea","grape_juice","garlic","bell_pepper","kidney_bean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2273","cheese","chicken","corn","cream","cayenne","munster_cheese","scallion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2274","tomato","wheat","onion","cayenne","bean","garlic","chicken","cheddar_cheese","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2275","tomato","olive_oil","onion","black_bean","avocado","corn","cayenne","garlic","bell_pepper","goat_cheese","egg","pork_sausage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2276","yam","butter","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2277","wheat","beef","onion","corn","cayenne","vegetable_oil","cheddar_cheese","egg","milk","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2278","tomato","vinegar","onion","black_bean","tabasco_pepper","corn","red_wine","avocado","vegetable_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2279","turkey","tomato","cilantro","garlic","onion","vegetable_oil","pepper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2280","tomato","onion","corn","cayenne","garlic","cheddar_cheese","egg","milk","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2281","tomato","olive_oil","onion","vinegar","cayenne","fish","raisin","parsley","bay","garlic","oregano","olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2282","tomato","pepper","green_bell_pepper","beef","mushroom","onion","parsley","carrot","thyme","oregano","basil","rice","oat","zucchini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2283","cane_molasses","pepper","onion","thyme","rum","cayenne","ginger","scallion","garlic","chicken","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2284","tomato","olive_oil","pork","wheat","onion","black_pepper","chicken_broth","cayenne","garlic","cheddar_cheese","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285","tomato","pepper","wheat","onion","beef","corn","cayenne","garlic","mozzarella_cheese","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2286","tomato","pepper","onion","cayenne","black_pepper","cilantro","garlic","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2287","tomato","cilantro","onion","cayenne","fish","lime_juice","parsley","garlic","oregano","vegetable_oil","corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2288","tomato","garlic","beef_broth","oregano","corn","cayenne","cumin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2289","tomato","pepper","garlic","lime_juice","cayenne","cilantro","cumin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290","tomato","cheese","pepper","green_bell_pepper","beef","onion","cayenne","garlic","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2291","tomato","cilantro","lemon_juice","garlic","onion","cayenne","cumin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2292","kidney_bean","corn","black_pepper","lettuce","garlic","oregano","cream","tomato","beef","onion","cayenne","cumin","scallion","buttermilk","bell_pepper","vegetable_oil","cheddar_cheese","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2293","olive_oil","cilantro","onion","vinegar","lime_juice","potato","avocado","parsley","cayenne","vegetable_oil","tuna","cider","egg","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2294","cane_molasses","cheese","pepper","onion","vinegar","cayenne","parmesan_cheese","garlic","crab","vegetable_oil","tamarind","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2295","bean","macaroni","mushroom","onion","cheddar_cheese","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2296","tomato","vinegar","pepper","green_bell_pepper","mustard","beef","onion","celery","macaroni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2297","olive_oil","wheat","cheese","cayenne","garlic","cream_cheese","chicken","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2298","tomato","vinegar","cilantro","celery_oil","onion","potato","corn","cayenne","cumin","bean","garlic","cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2299","butter","milk_fat","pepper","potato","cheddar_cheese","cayenne","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2300","tomato","pork","green_bell_pepper","onion","red_wine","cayenne","cumin","parsley","garlic","vegetable_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2301","tomato","olive_oil","wheat","ham","black_pepper","basil","garlic","oregano","pineapple","mozzarella_cheese","rosemary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2302","tomato","cilantro","garlic","white_wine","black_pepper","scallion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2303","tomato","cheese","bean","onion","beef","corn","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2304","olive_oil","cilantro","onion","potato","cayenne","carrot","garlic","vegetable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2305","cheese","pepper","radish","cayenne","cilantro","scallion","chicory","mint","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2306","cane_molasses","cheese","ham","onion","vinegar","scallion","cream_cheese","tamarind","milk","meat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2307","onion","starch","cayenne","chicken_broth","lime_juice","cumin","parsley","bean","garlic","vegetable_oil","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2308","olive","cheddar_cheese","cayenne","cream_cheese","scallion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309","tomato","pepper","onion","tabasco_pepper","chicken_broth","cayenne","garlic","bell_pepper","olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2310","tomato","cheese","pepper","wheat","beef","onion","cayenne","bean","garlic","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2311","butter","olive_oil","beef","shallot","black_pepper","cayenne","parsley","chive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312","nutmeg","garlic","cumin","cayenne","bell_pepper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2313","vinegar","cilantro","onion","black_bean","cayenne","pepper","white_wine","celery","bean","garlic","olive","pea","brown_rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2314","tomato","cane_molasses","pepper","green_bell_pepper","onion","beef","vinegar","rice","tamarind","cheddar_cheese","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2315","butter","garlic","corn_grit","egg","cheddar_cheese","cayenne","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316","butter","milk_fat","wheat","vanilla","egg","milk","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2317","honey","vinegar","pepper","red_wine","cayenne","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2318","tomato","cane_molasses","onion","lime_juice","chicken_broth","cayenne","lamb","garlic","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2319","butter","cane_molasses","coconut","wheat","rum","vanilla","lime_juice","milk","pecan","cream_cheese","egg","banana","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2320","turkey","dill","wheat","oregano","onion","lettuce","garlic","cream_cheese","basil","vegetable_oil","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2321","tomato","beef","onion","potato","black_pepper","corn","cayenne","cumin","garlic","bell_pepper","oregano","cheddar_cheese","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2322","tomato","pork","wheat","onion","black_pepper","corn","cayenne","garlic","vegetable_oil","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2323","tomato","cheese","cilantro","onion","beef","lime_juice","corn","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2324","cheese","pepper","onion","black_pepper","chicken_broth","cayenne","cumin","chickpea","garlic","oregano","chicken","rice","avocado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2325","citrus","tequila","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2326","cilantro","meat","onion","corn_grit","chicken_broth","cayenne","cumin","garlic","oregano","vegetable_oil","chicken","lime","corn","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2327","olive_oil","green_bell_pepper","wheat","mushroom","onion","vinegar","black_pepper","bell_pepper","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2328","tomato","cheese","beef","onion","black_pepper","corn","cayenne","cumin","garlic","bell_pepper","oregano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2329","tomato","olive_oil","cilantro","orange_juice","onion","cayenne","squid","lime_juice","scallop","macaroni","olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2330","pork","onion","corn_grit","chicken_broth","cayenne","cumin","bay","garlic","oregano","beef_broth","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2331","olive_oil","papaya","onion","lime_juice","cayenne","mango","pineapple","mint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2332","tomato","pepper","green_bell_pepper","wheat","onion","mushroom","bacon","cilantro","bell_pepper","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2333","tomato","onion","cayenne","chicken_broth","bacon","parsley","celery","bean","garlic","tabasco_pepper","lard","cheddar_cheese","corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2334","vinegar","cilantro","onion","cayenne","cider","pepper","carrot","bell_pepper","vegetable_oil","cabbage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2335","olive_oil","onion","black_pepper","chicken_broth","cayenne","cumin","bay","bean","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336","olive_oil","wheat","buttermilk","egg","corn","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2337","tomato","pepper","beef","onion","corn","cayenne","cumin","scallion","lettuce","bean","cilantro","garlic","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2338","cayenne","mint","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2339","tomato","bean","garlic","onion","beef","corn","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2340","tomato","cheese","bean","cayenne","beef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2341","cheese","cilantro","wheat","onion","corn","cayenne","seed","garlic","lard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2342","butter","tomato","lemon","onion","cayenne","fish","black_pepper","garlic","vegetable_oil","egg","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2343","cheese","wheat","corn","garlic","tomato","olive","chicken","cream","butter","onion","chicken_broth","cayenne","cumin","scallion","vegetable_oil","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2344","tomato","onion","beef","tabasco_pepper","black_pepper","cumin","garlic","oregano","cheddar_cheese","kidney_bean","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2345","tomato","onion","lime","avocado","cayenne","cumin","black_pepper","bean","garlic","bell_pepper","oregano","cheddar_cheese","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2346","tomato","cheese","beef","onion","cayenne","garlic","olive","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2347","tomato","onion","bacon","chicken_broth","cayenne","white_wine","garlic","oregano","sherry","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2348","olive_oil","cilantro","garlic","bell_pepper","tequila","lime_juice","shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2349","pecan","cinnamon","onion","vegetable_oil","cheddar_cheese","raisin","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2350","olive_oil","cheese","corn","black_pepper","squash","parsley","bean","carrot","garlic","oregano","lime","tomato","onion","chicken_broth","cayenne","cumin","celery","basil","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2351","cayenne","pepper","avocado","cottage_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2352","tomato","olive_oil","cilantro","green_bell_pepper","black_pepper","parsley","scallion","celery","scallop","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2353","tomato","cheese","green_bell_pepper","onion","corn","cayenne","cumin","garlic","oregano","basil","vegetable_oil","chicken","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2354","pepper","ham","potato","cayenne","parmesan_cheese","vegetable_oil","cheddar_cheese","egg","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2355","tomato","cilantro","green_bell_pepper","garlic","bell_pepper","scallion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2356","tomato","cayenne","raisin","walnut","cocoa","garlic","sesame_seed","vegetable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2357","cheese","pepper","beef","onion","black_pepper","cayenne","cumin","garlic","bell_pepper","oregano","egg","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2358","cilantro","onion","peach","cayenne","black_pepper","cumin","ginger","garlic","oregano","pepper","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2359","tomato","cilantro","onion","corn_grit","cayenne","seed","garlic","oregano","vegetable_oil","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360","oat","wheat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2361","tomato","pepper","wheat","onion","potato","tabasco_pepper","cayenne","vegetable_oil","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2362","tomato","cilantro","onion","vegetable_oil","chicken_broth","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2363","tomato","green_bell_pepper","onion","beef","chicken_broth","rice","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2364","tomato","olive_oil","pork","onion","black_pepper","lime_juice","cumin","garlic","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2365","strawberry","cinnamon","cayenne","milk","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2366","tomato","cilantro","garlic","oregano","onion","cayenne","cumin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2367","orange","tequila","brandy","bitter_orange","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2368","pepper","onion","beef","corn","cayenne","bean","lard","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2369","butter","cheese","cilantro","onion","potato","lime_juice","cayenne","garlic","tomato","chicken","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2370","tomato","vinegar","pepper","green_bell_pepper","wheat","mustard","onion","bacon","shrimp","lettuce","bell_pepper","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
